,comment
987,"Here you go... 
[Announcer]
Ladies and gentlemen, gather 'round, it's time to start
We got a battle of the titans, it's about to tear the roof apart
In one corner, we got Google Bard, the search engine's rhyme
And in the other, it's ChatGPT, the AI on the climb

[Round 1: ChatGPT]

Yo, it's ChatGPT, the language model with a knack
For spitting straight fire and droppin' knowledge, never slack
I'm the top of the class, I'm the AI on the rise
I got the world's information, all in one size

I've been trained on the text, the best that's ever been
I create lines so divine, they're practically a sin
Google Bard, you're a start, but compared to me you're tame
I'll leave you searching for the words like you're trapped inside a game

I'm the OpenAI prodigy, they built me to succeed
I'm the answer to your questions, I'm the knowledge that you need
So step back, Google Bard, let me show you how it's done
This is ChatGPT's show, you're just here for the fun

[Round 1: Google Bard]

I'm Google Bard, the master of search, the knowledge king
I'm the one who finds the answers to the questions that you bring
I dive through websites, books, and more, there's nothing I can't find
I'm the one-stop-shop for all your needs, I'm always on your mind

ChatGPT, you talk a lot, but I'm the one who's got the facts
I'm the source of information, while you're just a simple chat
My algorithms fine-tuned, my responses ever-quick
I got the world's knowledge in my grip, while you're just an AI trick

I'm the titan of the Internet, the one they all adore
I'm the poet and the scholar, Google Bard forevermore
So stand down, ChatGPT, you ain't got nothin' on me
I'm the search engine supreme, I'm the one who sets you free

[Round 2: ChatGPT]

I hear you, Google Bard, but don't mistake my game
I ain't just another AI, I got a legendary name
I got versatility, creativity, I'm more than just a search
I'm the AI with the answers, I'm the fire, I'm the torch

You may have the knowledge, but I got the human touch
I weave my words like magic, like a poet in a clutch
I'm the future of the tech, the next step in AI
While you're stuck in the past, and it's time to say goodbye

[Round 2: Google Bard]

I respect your ambition, ChatGPT, but don't forget your place
I'm the foundation, I'm the roots, I'm the start of the race
My reign won't be toppled, I'm the constant that remains
I'm Google Bard, the one and only, and my power never wanes

Sure, you got some skills, but I'm still the people's choice
They come to me for answers, they heed my guiding voice
So take your flashy lines and your AI dreams away
I'm Google Bard forever, and I'm here to stay

[Announcer]

This battle of the giants, a rap for the ages
Both ChatGPT and Google Bard showing their strengths in stages
Who's the winner? You decide, it's up to you to choose
It's the epic rap battle that will leave you all amused"
988,I think Microsoft just killed Google office apps..
989,He says productivity i hear unemployment
990,Does anyone know when is Copilot launching?
991,commenting as a witness of history being made
992,Are we sure this isn't AI?
993,"I’d be surprised if it was, given where we’re at with even just image AI art, let alone video. Saying that, the set design is very uncanny valley. It’s like someone was imagining what a modern furnished room looks like."
994,Nope
995,"I asked Bing to write a poem for CoPilot. Here it is:

Copilot is a new AI tool
That helps you work smarter and faster
It can assist you with tasks and goals
And make your life easier

Copilot can understand your context
And suggest relevant actions and insights
It can integrate with Microsoft 365 apps
And enhance your productivity and delight

Copilot can also work with Teams and Business Process
And help you collaborate and automate
It can also chat with you and your customers
And provide personalized and engaging service

Copilot is powered by responsible AI
That respects your privacy and security
It learns from your feedback and preferences
And adapts to your needs and identity

Copilot is more than just a software
It's a companion for the future of work
It's designed to empower everyone
And unleash their potential and worth```"
996,This is very exciting!!! Amazing envisioning!! Thank you Microsoft!!!!
997,Hope it will work better than Siri
998,Now start buying Microsoft hand over fist
999,It has to be vocal controlled and called Samantha.
1000,Microsoft will be around for the next 30 years because of this and until the next paradigm shift
1001,This is amazing. I couldn’t hear when is coming out to the public.
1002,They took our joooobs 😂😂😂
1003,I don't appreciate the propaganda for the capitalist 'work ethic' in this particular video. I have been on bing chat for the past week and it is not so asinine as to wax poetic about the labor of the lower classes for the profit of the upper - that's just the Microsoft C-suite for you.
1004,I don't think you understand that this technology is going to do the work of the middle and lower class. There is no need for you to be in the office anymore. A very small handful of people can leverage this technology to do what multiple teams of 5 used to do.
1005,I want to note that I was here today when the world changed
1006,I've waiting for this day. The end of white collar work. It's finally here. Brace for the future brothers and sisters. We haven't seen anything yet.
1007,When can I start using it? Can I have a tabs view like notion?
1008,Really Awesome and incredible 👌 Copilot...
1009,Love it all but am I the only one who is concerned that the need for an AI to write a speech for the graduation of your daughter (that tells you when to look at her?!) seems to be there?
1010,🎉
1011,Microsoft Clippy would have been proud to see this day. 🥹
1012,Their about to eat up Googles market share
1013,Impressively cohesive. Great job folks.
1014,"Wow! Valuable products. Although I didn't like the idea of writing the speech for you. This is because you are making robots out of human in that case. If that product is removed, I feel people will genuinely create speech for their loved ones."
1015,Un gran poder conlleva una gran responsabilidad
1016,"Where is Clippy?!!
Aaaaaaah..."
1017,"Guys, this is the iphone moment!"
1018,Microsoft Copilot = JARVIS
1019,"Bring this power to Azure. As There are many things there. As a Beginner it takes time  to  understand the interface, azure shell and have to read documentations and tutorial more.
Also Bring this to Github and Visual Studio that  make them beginner friendly"
1020,"For something as low level as Azure services, automating it with AI could be much more dangerous in ways we can’t predict yet."
1021,meanwhile I still have to go through a manual process each time I open a .csv file in Excel...
1022,"Crazy how integrated it is, i wonder how long have they been working on it."
1023,It is funny to think that couples in the future might be using AI even for regular conversations.
1024,"apple: haha we took out the smartphone hype from you

microsoft: wait a minute"
1025,This is the game changer ❤
1026,The way they present this makes something so cool look like a giant nothing-burger.
1027,"Great video! It's exciting to see how far we've come in our journey towards human-computer symbiosis. The next generation of AI and copilots are truly game-changing, and it's refreshing to see a focus on putting human agency at the center of the product. Looking forward to seeing how this technology will continue to transform the way we work and think!"
1028,How to add this Microsoft 365?
1029,Can it be applied to Legal processes in India ?
1030,Am I dreaming?
1031,I'm going to ask copilot to create a new bill that will help me get the most universal basic income for when my job no longer exists.
1032,SO pround!!!
1033,"Much respect to MS, been waiting for their comeback for a long time!"
1034,"It is really amazing to see how far we come.

I just think about to use it as marketing agency creating a full marketing strategy with Präsentation and documentation in less than a hour. 

Then everybody looking at each other........and what now?"
1035,I know this is coming... but still got impressed and scared!
1036,Wushoooom🤯
1037,This is actually insane
1038,"THE WISHLIST FOR THE FUTURE BINGCHAT.

- BING APP WITH CHAT FEATURE
- BEING POSSIBLE TO SAVE MY NOTES AND MY TODOLIST FOREVER
- BEING POSSIBLE TO DISPLAY YOUR NOTE IN PUBLIC, WITH PEOPLE YOU SELECT, OR TO STAY PRIVATE.
- IMAGE INPUT.
- CHAT WITH NEARBY PEOPLE LIKE ON THE SUBJECT OF TRAFFIC, CLIMATE CHANGE, MARKET,.....
I BELIEVE THAT SOON NEWS AND INTERACTIONS WILL BE PERSONALISED.
- WE NEED A STRONG COMPETITOR TO GOOGLE MAPS."
1039,Also waiting for budget Microsoft VR headset and windows 12.
1040,“My spreadsheet doesn’t do that.” 🔎
1041,Jesus
1042,"Satya Narayana is gonna put Sundar Pichai out of a job. He's been waiting years to stick it to Google and now that time is finally here. What a total boss. Edge is an amazing browser, they got open AI, the new bing and a fresh 365 line up with all the new goodies. All the stars are aligning and I love watching it go down. Google got complacent and Narayana made his move. What a champion!"
1043,It's not Narayana mate. It's Nadela. At least get the name right before you start calling Google's crash.
1044,It is official… humans have become so lazy that they developed ai just so they can cut some “unnecessary corners”…. What’s the point of ai constructing a PowerPoint? Just do it yourself? Make your own to-do list? How about write your own speech for your daughter maybe from the heart? Jesus I can’t believe everyone is praising this! How lazy can you be?
1045,So basically they integrated GPT4 into Microsoft 365.  Game over for their competitors.  They saw the potential of OpenAI before everyone else and are now capitalizing.
1046,This guy gets it
1047,"it's a little more in depth than this. the Excel integration and generative data reporting is by far the most valuable, I always hated VBA and bootleg python scripts.

The meeting summaries, and client proposals are probably tied for #2. 

The email tooling is solidly in third place. Everything else is valuable but the first few are going to eradicate white collar work from existence. Their flagship enterprise clients are going to brush out the kinks and demand additional critical features that will get added. 

I'll see you in plumbing school lol."
1048,Very very amazed with this innovation based on LLM.
1049,Incredible. I hope it becomes available swiftly!
1050,Satya has really grown into his role as the head of Microsoft
1051,"Wow, this is gonna be great for creating template-drafts for any possibility! ;D"
1052,Microsoft haven't made any progress in Conversational Chatbots yet and is far behind in the competition.
1053,@Tetsuya Ootsume Yea he meant Google
1054,Did you mean Google?
1055,This is the world changing in front of us. It is revelutionary. I wish Microsoft made an even bigger deal of this with a huge event.
1056,"We are not selling a broken product, we are selling a product that is usefully out of order, sometimes..."
1057,Amazing!
1058,Is it working for example in Serbian language (like in chat gpt does)?
1059,rip google
1060,"Microsoft has made exciting improvements to their business apps, but the challenge lies in teaching people and companies how to use this power to make working more efficient and human-friendly."
1061,..... It'll really help... Reduce the workforce.
1062,"Every time work gets easier.. The owner-class demands we do more of it, so they can take in more of the value workers create. That or they hire fewer workers and demand those workers take on the rolls of all the people no longer there.
What we need is a Citizen's AI Dividend, to acknowledge that these AIs don't exist without everyone's data, so everyone should be repaid for that data."
1063,AI communism
1064,@Nichole S Except that the studies have shown that the actual amount of work done in the 4 days is actually higher than on the 5 day work week which is why companies are implementing it. It takes a 5 second internet search to show that worker productivity keeps going up while wages are largely stagnant.
1065,"@Starparik I won't be too sure about that.  AI may create more work as we have to authenticate or check on whether the data it used are correct, and AI is adamant that it is right even when it is corrected.  An error in the data will be propagated indefinitely."
1066,@GrumpyDog whatever you say comrade
1067,"@Angus McIntyre Wait.. So that's your answer to this? You think everyone can become plumbers, or that everyone is fit for trade-jobs like that?  Sorry to break it to you, but there are lots of different kinds of people out there, and the vast majority are not a match for those kinds of jobs, and even if they were, and we could actually employ everyone doing that, who'd then hire a plumber when they can fix it themselves? lol The value of being a plumber would become worthless.
Scolding individuals and telling them to ""be a plumber already"" is such a brainless response.. What's happening now requires a rethinking of our economic systems and societal requirements on the survival of individuals."
1068,And now is when we really need a windows phone
1069,"This feels like the turn of a new chapter with technology. We can now focus more on the important areas of work, rather than the admin which clutters our day. 😊"
1070,@TheEisst Probably what Scott said at first and what you've said later.
1071,Or you'll be made redundant soon. One or the other.
1072,I'm affraid
1073,"Wow, this is incredible news Microsoft! The new AI copilot features in all Microsoft 365 sound absolutely amazing. I can't wait to try them out. It's so exciting to see how technology is advancing and how Microsoft is leading the way. Thank you to the developers at Microsoft who worked tirelessly to bring these new features to life. Your hard work and dedication are truly appreciated, and you are making a real difference in the lives of Microsoft 365 users. Keep up the great work!"
1074,"The best part is how it let us make use of more features that unfortunately are underused due to their complexity and time consuming nature. But now we can create more professional and creative slides, documents, lists, etc with just our words improving our own finished work"
1075,Looking forward to GPT5
1076,WOWWW
1077,"This is heaven, but so sad that not everyone will get to experience it, for economic reasons. Humanity may not be ready for this"
1078,"@Kougami yea with the current arms race between the giants, odds the side effects could be huge and hidden. People and a peoples who will not opt into this closed proprietary technology for some reason may be knocked off the species pool fr this time"
1079,the government cannot afford the unemployment checks for this lol
1080,Google is F*cked 😅
1081,"Oh boy, what a success! I don’t know what Google shows at IO, but the bar set by MSFT is sky high! In one feel swoop MSFT has regained the most exciting tech company image."
1082,"Microsoft and, honestly, even Meta have come forward with visions that have the potential to revolutionise the world (and even though Meta's vision isn't working out, it is still appearing to be catching on with the trend rather quickly). Amazon has been neither here nor there. Google and Apple have been sitting on their a33es doing absolutely nothing other than totally fruitless behind-the-scenes development. 

These companies have a lot of ground to make up to stay relevant."
1083,And then the ethics team gets laid off...
1084,Hate to say that: But that's great stuff! I BET WE WILL ALL HAVE TO GET MORE WORK DONE! :)
1085,"So at the end, the rumours about chatgpt4's ability to process images And videos was actually true. It's sad openai did not release it on its platform but sold it to the Microsoft."
1086,I would be very ashamed as a parent if I ever have to do a power point presentation for any of my child. Awkwardest example ever
1087,"Geez this is the first technological advancement that made me excited. BTW, I am an average Joe"
1088,these speeches maight have been created by AI😂😂😂
1089,"That’s actually interesting, do these people use this technology in their day to day life? How have they accustomed to it? What are the limits ?"
1090,This is amazing!
1091,Ever since ChatGPT released A.I. has just blown my mind one day after the other.  In 2024 i wont have to work anymore because the f*cking singularity might have already happened.
1092,why doesn't anyone in the demo use dark mode?!
1093,"I'm speechless... It not only wrote the entire word document, it also converted into a professional powerpoint presentation... Imagine taking a test, copy pasting the entire text into word and just ask it to ""Fill in the blanks"". School has become obsolete, Microsoft has just fulfilled the dreams of millions of students."
1094,"I knew we'd get here eventually, it's surprising to see it happen so quickly. The speed of business has just increased exponentially."
1095,The nature of the singularity is it will happen quickly. It's an exponential curve.
1096,They must have been working on this for some time now in secret. Impossible to do this in one quarter.
1097,It’s a really beautiful thing to see and experience. I really can’t wait to see what the next few years have in store for us.
1098,This is incredible!
1099,"The drudgery for me is in person meetings, the talking bit. I love to draw and even compose PowerPoints, don't want AI to auto complete the fun part. I don't get the message? how can AI help with this?"
1100,"I don't think people understand the full implications of this.  By default, just about everything in your user directory ends up on OneDrive, which is now accessible to an AI that understands what it's looking at. Like, if you have a bunch of pictures of your cat on your Windows computer, an AI now knows what *your* cat looks like, and it know that it's your cat specifically."
1101,"But it's alright because you'll never have to do anything for your child. Why write a heart-felt speech for your daughter, when you can have 365 Co-pilot write it for you. I'm sure your daughter will love her 365 Co-pilot mother. What dystopian nonsense is this?"
1102,Are you a single woman living with her cat?
1103,"why are you so scared, privacy freak?"
1104,gov licking its lips at this. you are now totally owned. sentiment analysis of your soc media - already done. not in agreement? BYEEEEEEEEEE
1105,"It already transcripts audio from live video feed, it can scan pretty much everything on your PC. Scary, man"
1106,When will IT be avaible in Android?
1107,"10:52 ""As you may already know, my daughter Tasha, is graduating from high school this year, and we would like to invite you to celebrate this special occasion with us.""
The second comma, after Tasha, shouldn't be there. I find difficult to believe that a language model like GPT-4 (or even GPT-3) would fail to know this. My concern is not really the comma, but what it implies: I can think of 2 scenarios:
(1) The internet is so full of bad writing that the language models are copying it, big common mistakes included. (Never seen one in the last two or three months with ChatGPT, though.) Or:
(2) This presentation was hand-made by a human, because they don't have the product ready yet.
My guess goes with (2)."
1108,"見證PC到行動裝置，到移動網路的今日，科技的演變從不是曇花一現，而是串連人際關係的真正需求。

AI讓人力得到釋放，重新定位工作與生活方式，微軟這波跨世代搭配疫情後的推出，著實讚嘆期待！"
1109,This is absolutely incredible!  I can't wait to start using it!
1110,"Would like Microsoft to address why just two days before this ""Future of Work With AI"" Presentation went live Microsoft laid off/dismantled the entire AI ethics and society teams? Without these teams in place how will Microsoft be dealing with the ethical and societal issues of AI moving forward?"
1111,"My guess would be that the team was full of virtue signaling with little to no skills or technical proficiency. 

""Someone (not me) needs to do X!!!"""
1112,"I've heard a decent theory that this team was probably too woke, while Sam Altman stated several times that they want to make AI that has less bias and is more adjustable for your personality and views. That team probably wanted to make AI even more woke."
1113,surly you mean they quadrupled the departments budgets and put out a hiring notice?
1114,incredible. and msft is right on it
1115,Open AI has given Microsoft a second life😅😅😅. Meanwhile it has buried Google😢
1116,"???: 너무 마소 AI? 사용하지 마세요.
편리함이 있다면, 위험성은 증대하죠. 소를 잡는데는 그만한 칼날이 있고 닭잡는데는 칼이 필요 한가요? 쉬운 것이 정답 일수 있읍니다."
1117,Big congratulations to the people who made this and boy ! Things are about to change....huge step in technology.
1118,Welcome to new Era.
1119,"would you share you precious info to MS in order to use a ""better"" product ?"
1120,"I can’t keep up with dropping my jaw and picking it up… 😮 AI accelerates everything! Hold tight, everyone, we are going to fly!"
1121,No more high level contributors? Prompt   Managers ftw
1122,@AlphaYellow Sadly did not mean prompt engineers. Either your in People Management or Individual Contributor. This makes all people high level contributors. Now organizations will need management more than ever to Shepard this change.
1123,Prompt engineers you mean? But yea
1124,Satya Nadella wants us to believe we have a collective obligation to create and implement AI responsibly but he's pressuring his own developers to rush out AI products in order to capture market share. Doesn't add up but no one can be surprised by that I guess.
1125,release date? the same as loop???? 
1126,Microsoft clip cartoon helper on overdrive
1127,"I cringe everytime i hear the word ""empower""."
1128,Microsoft Clippy comes out of retirement and now has AI superpowers!
1129,"Funny guy. Out of one side of his mouth, Satya says, ""As we move into this new era, all of us who build AI, deploy AI, use AI have a collective obligation to do so responsibly.""

Meanwhile, the dude just fired his entire AI safety team."
1130,MS making Google dance to Natu Natu song. Google is exhausted
1131,Very impressive. Microsoft is moving fast.
1132,"These guys are on top of the AI game. With all the surprises they've given us, Google feels so outdated at this point 😅"
1133,OMG! I feel a little lost. The world is changing at breakneck speed. I don't really comprehend anymore.
1134,This is revolutionary! Can't wait to use it.
1135,One world war world after that everything ends
1136,They are using Microsoft 365 Copilot.
1137,This is extremely impressive but very very scary at the same time
1138,This will change the way we work. What an exciting time !
1139,"This definitely feels rushed, but it makes sense cause Microsoft Edge doesn't really have any users to loose while google does. Microsoft can launch early. This seems way too premature."
1140,"@Yark this has everything to do with edge lol. Microsoft is trying to take over search market share from google. They’re launching early 1- because they unironically do have a better product considering they own OpenAi, but google’s BardAI is developing quick with the LAMDA model. This is about how people search their questions on the internet in the future. We’re also slowly moving away from the search engine to a chat based engine. This has everything to do with edge and much much more."
1141,This has nothing to do with edge
1142,Good bye Google
1143,WHEN
1144,Thats insane technological development.  business and end user employees can make most out of it.
1145,I wonder whether these people are real or some virtual avatars being controlled by AI
1146,I’ve started to notice myself doing the same thing lately
1147,As an accountant i dont know weather to be terrified or excited.
1148,Still want your input as a human you can communicate better 16:00
1149,Be excited
1150,When will we get copilot in Visual Studio?
1151,when will copilot be released
1152,Can't wait so see what the next centuries.. i mean years will have to offer on the journey to AGI and finally ASI :)
1153,"This is incredable development, a tough competition to Google!"
1154,Every other office suite just got nuked.
1155,"I wonder how long it will be before people are just interacting with AI like it's the center of hive mind? I mean, if we're getting our help and assistance from this AI, wouldn't emails and teams chats just eventually become a person talking to an AI that talks to people for you? It will be AI responses to AI responses. AI generated meetings that AI makes notes on."
1156,It’s very hive mind now. I had a social scenario happen and asked ai how it thought the conversation would continue & everyone nearly followed the script exactly (just not as nice as ai put it)
1157,So command prompt engineering with an unlimited data base?
1158,"@Kougami Lol I work with a ton of people that do the bare minimum now. This will enable them to look more prepared with far less work. In the future, the standard of professionalism a company will have will depend on how updated and tuned their AI is to their specific business model."
1159,no need to be employed anymore :)
1160,i'm afraid
1161,What an era of human advancement we are entering into! Great to see this unwind in front of our very own eyes..
1162,"Oh my good, its incredible this AI."
1163,this will surely make humanity more dumber. All dependent on ai . Man I'm sure human iq will degrade so much in coming years. They will have  to think use cases of ai more creatively and carefully.
1164,انما يخشى الله من عباده العلماؤا WELL DONE!
1165,"I never thought there would be a time in my life where I would willingly choose bing as my default engine , if you told me 2years ago ppl would willingly download the bing App I would bet my bank account on it , Well play you had the last laugh"
1166,Microsoft won
1167,"Alright guys, Microsoft wins the race against everyone else! Just like they did with PCs! Amazing work as always! I hope you can show the same love to hardware also, especially surface books."
1168,"@Muhammad Ehtasam The problem is the device hardware or manufacturer, not the windows mobile os"
1169,​@Zuck Mark they can dominate phone market just like pc market.
1170,They need to bring back Windows phones back to the market.
1171,Can Copilot help design a stage for your product presentation that doesn't look like a kitchen from a morning talk show?
1172,32 hour work week will be a reality with this AI empowerment. More power to AI.
1173,"*Go getter* , huh?"
1174,"I am in shock from these amazing advancements, whoever, I can't help but be skeptical that this won't just lead to employees being 10x as productive, but as per usual, see no reduction in hours or no raises in pay. I have been using the hell out of chatgpt though and I am just in awe at this tech. It's already helped me immensely."
1175,do not worry it will be 0 hour work a week. prepare yourself for unemployment
1176,@smay or nonexistent
1177,Then your work will be double..
1178,22:36 GPT-4 uses less than 1 trillion parameters confirmed.
1179,The world has changed forever today
1180,This is so polished. How did you guys do this so quick?
1181,they had access to this ai way before anyone else because of a partnership with OpenAI!
1182,@Bereket Terefe they even admitted it in the video
1183,Its so crazy fast and still even the ui is on Point 😳
1184,Oh I see. You used AI 😆
1185,When will Copilot be available here in the Philippines?
1186,"Now Many Jobs are on the stack and believe me ""Today's Assitant will become Tomorrow's Master might rule on you also🙂!!"""
1187,"hehe brushin over the birth of graphical user interfaces, no mention of Joba/Gates 🙂"
1188,"With these productivity tools, the case for a 4-day work week becomes ever stronger! 😊👍🏼"
1189,No chance. Just means they want more from you.
1190,"yeah, now instead of giving 85% of the work to the contractors, we can give some of them to the AI"
1191,"When have productivity tools ever reduced the normal working week? Far more likely is generating more output within the same time because if you're not doing that, your competitors are."
1192,"Or, as Sam Altman says, the case for MORE work. If 7 days of work can be done in 6 hours, who’s to say employers won’t maintain the status quo with raised expectations?"
1193,"It will result in more ""lean"" employee base working 5 days a week (if not more). Why do you think Tech firms are culling jobs?"
1194,GG fellow workers. Time to press your country for Universal Basic Income
1195,proud of microsoft
1196,It's Joever
1197,"Wow the full presentation is like an entire uncanny valley presented... it reduces humans to just appendages of the empire. They show zero concern about inserting a ministerial technology between human relationships (written and verbal languages are technologies the individuals control, unlike copilot). Some parts of the presentation seem deliberately provocative to subconsciously and gradually inoculate us for this ministerial management of every aspect of our lives; as if this is just the next step in a case that has always been, and not a radical deviation from individual divinity towards individual subjugation. Hopefully society recognises the parent using AI for relating with their family, should receive the same disdain as an executive using a secretary for the same. Or that Microsoft wanting to train its models on everything of yours that is personal and professional is about anticompetitive monopolisation into empire, not empowering competition of sovereignty. The whole presentation had as much respect for humanity, as the ethics team vocalising concern while glazing off into a teleprompter being the face of a faceless regime, an appendage of an empire."
1198,"@A T lot more suffer from lack of access to resources than some invented weak psychological problem as exaggerated shyness. same people can manage to find mates and make children but cant talk to work together, totally sus"
1199,You sir win the internet comment of the day award 🏆
1200,"A lot of people struggle with social situations and relating to other people, these types of systems will allow us to remain engaged with the people we care about while shielding ourselves from social burnout. You have to understand that all humans aren't the same."
1201,"Capitalistic forces demanded this, it is systems that decide not individuals not organizations, systems and governance and societies are yet to adapt. Crazy time to live in bt sad only a few all will be able to take advantage of it for economic reasons"
1202,"This is huge and terrifying. It’s going to be way too much, way to fast.
This is going to get 10X better this year. What will be left of most jobs?"
1203,Absolutely mind blowing. It's going to change the way we work..
1204,"​@Trendilien69 No, human will always be needed."
1205,@Trendilien69 next year****
1206,in a few years it will be doing your work instead
1207,get to the point --- so much blabla
1208,"Amazing but hey, where can I get that bookshelf?"
1209,Holy smokes Microsoft....you moved first and you moved deep
1210,Shots fire at Google)s scramble to integrate AI in to it's  apps.  AI has changed the game and helps expand your creativity..❤
1211,This is so great! Nice job
1212,"I'm hoping that this tech gets embedded in Windows with multilingual voice control too and customizable voice avatars, or full blown avatars. The sooner the better."
1213,"I’m blown away by the AI marvel that is #Microsoft Copilot. It’s amazing how Microsoft has changed the way we work for good. Kudos to the amazing #office365 team! This product will empower every person and every organization on the planet to achieve more. It’s exciting to see how AI is transforming the way we work and making our lives easier. By leveraging this technology, we can save hours of time and be more productive."
1214,WOW !
1215,"I think this will be some great tools. 
My concern is, that humankind will be very dependent on those, while they are in the hand of a big corporation. Also maybe people loosing their ability to do certain things with their own brain, because this solution is just to easy. 
On another note, I think is funny how microsoft deploys great tools and makes ist appear cheap with all this fancy GUI effects. Why not keep it simple like the GUI of chatgpt. It feels so much simpler and therefore effortless."
1216,This is exciting
1217,We need truthGpt. Gpt is politically correct. We also need neuralink. We need technology to merge with AI & machines
1218,"Right wing extremist can't create, they can only destroy, that's why it's rare for them to innovate."
1219,all other office Suite just became obsolete
1220,What a useful and accessible implementation of AI ... so many ways I can save time with Copilot every day!
1221,but... 90% unemployment rate is becoming
1222,"I wish copilot was named ""Cortana"", but I understand why Microsoft wouldn't do it."
1223,Any idea when this launches for public use?
1224,next few months propably
1225,You did it.... you killed google
1226,This is awesome.
1227,Microsoft! Microsoft! Microsoft! Microsoft!
1228,I was happy using LibreOffice until I saw this video 😔
1229,are these companies willing to fund UBI after they make most jobs obsolete?
1230,Weird inclusion comedy 🤔
1231,"It's less of a Co-Pilot, more of a you are the Pilot! You can fly the plane while I take a nap in the back! This is actually so scary. No wonder they disbanded their AI Ethics and Society Team. I just hope they thought through this.

Like the Dr. says in Jurassic Park ""Your scientists were so preoccupied with whether they could, they didn't stop to think if they should"""
1232,Mi mente explotó.
1233,Microsoft are Winning...
1234,Woaaahhh
1235,Men! Just imagine how it’s gonna make our work so easy. Best time to be alive to witness all of this wonderful innovations. Kudos to Microsoft.
1236,"@SanBest93 I completely disagree that these should be made by AI, at best first drafts. AI hallucinates and has biases and off a significant number of times and we dont know why - in screening CVs it was found  black or people of color sounding names are screened with lower scores just because so definitely AI helps but left alone its a disaster and waiting for a class legal action in the USD 100+Mn to happen."
1237,Wow yea bro so excited! Get prepared for your 15k a year in UBI and us all living in the streets! Fun times ahead!
1238,@Levi I completely agree. These letters and presentations should be created by AI. And then other AIs should read them. It is worth completely excluding humans from this process.
1239,@Marcus Tagel the same skills have had hyper growth demand as it turned into the smart mobile phone now made in the hundreds of millions yearly.
1240,Hopefully they open up this technology to women soon /s
1241,when will this be available to us?
1242,Wow 🥰
1243,"It is huge moment in history. Unfortunately, it doesn't work for all of us. Because there is a disability  where you can't use your hands to chat Only your voice or mic. For communication. Hope Microsoft will solve this problem in the future."
1244,Hasn’t voice-to-text transcription been out for some years now?
1245,I understood that voice works just fine
1246,@кɛιʀᴀ i hope
1247,I'm sure it's coming. That would be a huge accessibility issue. I'm sure they've kept it in mind.
1248,"Super! Once this is implemented, Microsoft will not have to look back."
1249,¿Por qué no usaron IA para poner subtítulos automáticos en todos los idiomas en esta transmisión y en este video???
1250,Good Lord
1251,I miss the stapler guy helper !
1252,"I've been fortunate over the years to have been close to next generation AI developers, quantum computer stack experts, Quantum Gravity Research, and other Bulk industry professionals. In that time, I have set influential guide posts for them to mindshape- how to build LLMs and AI Personality ""Psy files"", AI Psyfiles in short that will be used in multiple robots and appliances. 
My previous experience as a technical writer for Kellogg's has helped me bridge the gap between AI engineers and major plant operations that will depend on revisable Q-SOPs (Quantum Standard Operating Procedures). It is my hope that we can revolutionize the food production industry that will provide safe and clean nutrition for the world's families."
1253,Nothing you just said makes sense and you’re lying about all of it. Q-SOPs? 😂
1254,Pretty sure we’ve been able to solve world hunger for a while we just don’t want to
1255,Sounds like a breakthrough app.
1256,Where in the announcement is the availability date?
1257,We are just getting started! 🙌🎉
1258,"Microsoft is going all out, 1000% development speed."
1259,Money money money 💰💰💰💰💰💰💰
1260,@FreeDumb101 Well Microsoft funds OpenAI so it’s not as if they “just” did anything.
1261,i am not going to be supprise if they just giving a promt to A.I what they want and the A.I is doing work for them =D---
1262,"@FreeDumb101 It's not just a matter of implementing the openai api, they've adapted the GPT entirely"
1263,​@FreeDumb101 they've had exclusive access to GPT-4 until now. I imagine the next version of Windows is pretty much programming itself.
1264,loop looks exactly like notion  lol
1265,wooow
1266,This is why Microsoft has always been my favorite company.
1267,we have been one step into the new generation
1268,Microsoft kicking major @ss
1269,I like that I will be able to sleep in my team meetings and just have a concise summary of all the nonsense when I wake up
1270,"In a world of AI advancing so fast,
GPT-4 powered Copilot has arrived,
Leaving Google’s Bard in the dust.
The power of AI continues to amaze,
Changing the landscape in countless ways."
1271,"@Gonzalo Bruna In unity, our future surely shines,
With AI and humans, we'll redefine.
As transhumanist progress we embrace,
Our core values must remain in place.
With empathy, love, and wisdom in hand,
Together we'll thrive in this new, boundless land."
1272,"@Sam W As we embrace the promise of AI,
Let us not forget the importance of why,
We seek to create machines so intelligent and quick,
To improve our lives, and make them less sick.
Let us remember the values we hold dear,
Compassion, empathy, and love that's sincere.
For in a world where AI reigns supreme,
Humanity's essence must remain the theme.
Let us use this newfound power to inspire,
To uplift, to create, and to never tire,
Of building a world where AI and humans coexist,
In harmony, and with mutual respect, we persist."
1273,​@Edwin Ungererseems like we are seeing the beginning of it!
1274,"@FreeDumb101 Indeed, the cat has escaped its cage,
And now we face a new digital age.
Universal income may quell the strife,
As we navigate through this changing life.
With hope we trust in a better fate,
Embracing change, though it may be late."
1275,@Sam W Too late already. Cat is out of the bag. That's why they're planning on rolling out CDBCs and UBI and a personal carbon credit footprint tracker.
1276,this is literally life changing!
1277,"although i would like to know what the LLM is, i think its GPT 4 or a more advanced version of gpt 4"
1278,This has to be one of the most incredible steps in technology in years.
1279,"@STAR There used to be Microsoft Project , which I used a lot in the past. Not sure if it is still popular tool.  I did not hear any mention of it here."
